model,train_RMSE_mean,val_RMSE_mean,train_MAE_mean,val_MAE_mean,train_R2_mean,val_R2_mean
Ridge,95.30189092660832,95.48533722421892,55.68719963435034,55.797992077950596,0.3294186651654592,0.3268165763715845
RandomForestRegressor,33.17244319271645,88.59785153780633,18.76762747541714,50.2727585911536,0.9187507617035378,0.4204182544746445
